,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
,AAPL-BMK-MA,AAPL-MAFlat,AAPL-MAShort,AAPL-BMK-BB,AAPL-BB,EXC-BMK-MA,EXC-MAFlat,EXC-MAShort,EXC-BMK-BB,EXC-BB,GE-BMK-MA,GE-MAFlat,GE-MAShort,GE-BMK-BB,GE-BB,INTC-BMK-MA,INTC-MAFlat,INTC-MAShort,INTC-BMK-BB,INTC-BB,PFE-BMK-MA,PFE-MAFlat,PFE-MAShort,PFE-BMK-BB,PFE-BB,SPY-BMK-MA,SPY-MAFlat,SPY-MAShort,SPY-BMK-BB,SPY-BB,FBNDX-BMK-MA,FBNDX-MAFlat,FBNDX-MAShort,FBNDX-BMK-BB,FBNDX-BB,VBTIX-BMK-MA,VBTIX-MAFlat,VBTIX-MAShort,VBTIX-BMK-BB,VBTIX-BB,SPGSCI-BMK-MA,SPGSCI-MAFlat,SPGSCI-MAShort,SPGSCI-BMK-BB,SPGSCI-BB,XPT-BMK-MA,XPT-MAFlat,XPT-MAShort,XPT-BMK-BB,XPT-BB,CAD-BMK-MA,CAD-MAFlat,CAD-MAShort,CAD-BMK-BB,CAD-BB,GBP-BMK-MA,GBP-MAFlat,GBP-MAShort,GBP-BMK-BB,GBP-BB
Security,AAPL,AAPL,AAPL,AAPL,AAPL,EXC,EXC,EXC,EXC,EXC,GE,GE,GE,GE,GE,INTC,INTC,INTC,INTC,INTC,PFE,PFE,PFE,PFE,PFE,SPY,SPY,SPY,SPY,SPY,FBNDX,FBNDX,FBNDX,FBNDX,FBNDX,VBTIX,VBTIX,VBTIX,VBTIX,VBTIX,SPGSCI,SPGSCI,SPGSCI,SPGSCI,SPGSCI,XPT,XPT,XPT,XPT,XPT,CAD,CAD,CAD,CAD,CAD,GBP,GBP,GBP,GBP,GBP
Security,AAPL,AAPL,AAPL,AAPL,AAPL,EXC,EXC,EXC,EXC,EXC,GE,GE,GE,GE,GE,INTC,INTC,INTC,INTC,INTC,PFE,PFE,PFE,PFE,PFE,SPY,SPY,SPY,SPY,SPY,FBNDX,FBNDX,FBNDX,FBNDX,FBNDX,VBTIX,VBTIX,VBTIX,VBTIX,VBTIX,SPGSCI,SPGSCI,SPGSCI,SPGSCI,SPGSCI,XPT,XPT,XPT,XPT,XPT,CAD,CAD,CAD,CAD,CAD,GBP,GBP,GBP,GBP,GBP
level_0,AAPL-BMK-MA,AAPL-MAFlat,AAPL-MAShort,AAPL-BMK-BB,AAPL-BB,EXC-BMK-MA,EXC-MAFlat,EXC-MAShort,EXC-BMK-BB,EXC-BB,GE-BMK-MA,GE-MAFlat,GE-MAShort,GE-BMK-BB,GE-BB,INTC-BMK-MA,INTC-MAFlat,INTC-MAShort,INTC-BMK-BB,INTC-BB,PFE-BMK-MA,PFE-MAFlat,PFE-MAShort,PFE-BMK-BB,PFE-BB,SPY-BMK-MA,SPY-MAFlat,SPY-MAShort,SPY-BMK-BB,SPY-BB,FBNDX-BMK-MA,FBNDX-MAFlat,FBNDX-MAShort,FBNDX-BMK-BB,FBNDX-BB,VBTIX-BMK-MA,VBTIX-MAFlat,VBTIX-MAShort,VBTIX-BMK-BB,VBTIX-BB,SPGSCI-BMK-MA,SPGSCI-MAFlat,SPGSCI-MAShort,SPGSCI-BMK-BB,SPGSCI-BB,XPT-BMK-MA,XPT-MAFlat,XPT-MAShort,XPT-BMK-BB,XPT-BB,CAD-BMK-MA,CAD-MAFlat,CAD-MAShort,CAD-BMK-BB,CAD-BB,GBP-BMK-MA,GBP-MAFlat,GBP-MAShort,GBP-BMK-BB,GBP-BB
Average Annual Return,0.26634922893837176,0.25883702157875915,0.2513248142191464,0.26634922893837176,-0.10900854374210868,0.022351069729160466,0.00767601502118576,-0.006999039686788956,0.022351069729160466,0.04386491903267296,-0.1070250366613125,0.014159640484433422,0.13534431763017934,-0.1070250366613125,-0.013000861136727045,0.004559711793312411,0.012797558952175738,0.021035406111039053,0.004559711793312411,0.10785892928552367,-0.0022031233960615763,-0.0052032999023282345,-0.008203476408594894,-0.0022031233960615763,0.09027895319863186,0.03272515378579398,0.05427555720515296,0.07582596062451195,0.03272515378579398,0.05164254194100529,0.00487192736213315,0.011582560762651047,0.01829319416316895,0.00487192736213315,-0.0028311270469501357,0.0036504359665317015,0.003712508993320844,0.003774582020109987,0.0036504359665317015,0.002695216829310568,0.023685436802628093,0.05324115156913365,0.08279686633563924,0.023685436802628093,-0.020572007068695858,0.017384848334190517,0.033636389403173914,0.04988793047215732,0.017384848334190517,-0.07782713600532659,0.00582286983494534,0.015121321226210524,0.024419772617475712,0.00582286983494534,0.0005387368286457148,-0.007438033590574538,0.007356801292028174,0.022151636174630885,-0.007438033590574538,0.009171875250167069
Annual Risk,0.3767744743301694,0.2802758216603483,0.3768141789655919,0.3767744743301694,0.2887877370398254,0.25671788651482275,0.17346003676137142,0.2567212625593589,0.25671788651482275,0.1909951129401353,0.3104591837578004,0.14258962334051692,0.3104166555796053,0.3104591837578004,0.25339119278868455,0.36114050780719775,0.2019238212795284,0.36113826176649944,0.36114050780719775,0.2590994007064968,0.24347853275644818,0.14215876964839722,0.2434780394497241,0.24347853275644818,0.18532774910009348,0.19355799536395926,0.10496284143425472,0.1935114954278361,0.19355799536395926,0.14278040521210167,0.037978971704662114,0.026810718584913393,0.03796322221215609,0.037978971704662114,0.027964530244715863,0.038237674829972874,0.028713416910345905,0.03823762846064086,0.038237674829972874,0.02796773737280432,0.23592295603989963,0.17178101437987792,0.2358716323875947,0.23592295603989963,0.17949103619088616,0.22170678190145998,0.15476776240707454,0.22168781068710453,0.22170678190145998,0.1760084464808293,0.09361626681652231,0.06622918646714153,0.09360471028630542,0.09361626681652231,0.06471261469391916,0.09529234316394514,0.05846743919483388,0.09528355470403176,0.09529234316394514,0.06681803839202544
Sharpe Ratio,0.7069195157444996,0.9235082071846721,0.6669728164398391,0.7069195157444996,-0.37746943433084834,0.08706471540645816,0.04425235440106378,-0.027263186605630856,0.08706471540645816,0.2296651383243601,-0.3447314244851146,0.09930344265388036,0.4360085555894753,-0.3447314244851146,-0.05130747045170235,0.012625866372616128,0.06337815355851326,0.058247514423270606,0.012625866372616128,0.41628397823931806,-0.0090485324152391,-0.03660203246832827,-0.033692880175704036,-0.0090485324152391,0.4871313315842043,0.16907156805513932,0.5170930632546699,0.39184215106636294,0.16907156805513932,0.3616920813769214,0.1282796016706028,0.4320123209666095,0.48186621412002645,0.1282796016706028,-0.10123992865873731,0.09546699643123387,0.12929527004440797,0.09871381076876348,0.09546699643123387,0.09636878355169991,0.1003947949796898,0.3099361810228675,0.35102511267477793,0.1003947949796898,-0.11461300522449389,0.07841369661807371,0.217334597851861,0.2250368674648077,0.07841369661807371,-0.4421784156466801,0.062199338138077334,0.22831808803378112,0.26088187808908136,0.062199338138077334,0.008325066622541188,-0.07805489238288346,0.12582732189642765,0.23248121088091162,-0.07805489238288346,0.13726645485093603
maxDD,-0.9381974487268545,-0.5971742481871298,-0.9671219110097864,-0.9381974487268545,-2.73013222841188,-1.2807592563318222,-0.742900353268318,-1.1586325065455938,-1.2807592563318222,-0.5729661877042833,-2.116879465074928,-0.33129144496680024,-0.9264311884472264,-2.116879465074928,-1.1477143196026698,-1.3519252703863704,-0.7626489506747329,-1.1206870336503678,-1.3519252703863704,-0.45330009527604803,-1.4032487988261382,-0.7098992725689778,-0.759476772485309,-1.4032487988261382,-0.3051107671323151,-0.8318041207887763,-0.17346108999813928,-0.3926083655676841,-0.8318041207887763,-0.459545915600282,-0.23698571663992518,-0.08562304340920503,-0.10671499619089195,-0.23698571663992518,-0.1714609901642945,-0.1086952415492774,-0.10744345196830873,-0.16399529664022974,-0.1086952415492774,-0.07953992189031792,-1.186463168726978,-0.4307374196867064,-0.7945478792548406,-1.186463168726978,-1.013049254550716,-1.0742589536365865,-0.5170178950485339,-0.6271279093874614,-1.0742589536365865,-1.7654420054469422,-0.4599439651964631,-0.16177952336304613,-0.1998889331042912,-0.4599439651964631,-0.23411891765173945,-0.5529830291234719,-0.17272096230106537,-0.30419920452086335,-0.5529830291234719,-0.19853472428365515
Success Ratio,0.5177087888062964,0.39024923480542195,0.5260166156536948,0.5177087888062964,0.27240926978574553,0.5142107564494972,0.32400524704853517,0.5083078268473984,0.5142107564494972,0.25688675120244864,0.4820725841714036,0.2531700918233494,0.5010931351114998,0.4820725841714036,0.27918670747704416,0.504809794490599,0.28618277219064275,0.5021862702229996,0.504809794490599,0.26388281591604723,0.48819414079580237,0.26869261040664627,0.49934411893310016,0.48819414079580237,0.27481416703104505,0.5371665937909925,0.3734149540883253,0.5275470048097944,0.5371665937909925,0.24267599475295146,0.38609532138172276,0.22278093572365545,0.3839090511587232,0.38609532138172276,0.18998688237866201,0.425010931351115,0.24923480542195015,0.41364232619151725,0.425010931351115,0.2129427197201574,0.5179274158285964,0.3290336685614342,0.5135548753825973,0.5179274158285964,0.2770004372540446,0.5085264538696983,0.30323567993003936,0.5026235242675995,0.5085264538696983,0.25579361609094886,0.5004372540445999,0.26213379973764755,0.5078705728027985,0.5004372540445999,0.23327503279405334,0.5039352864013992,0.26716222125054656,0.505028421512899,0.5039352864013992,0.27066025360734586
